Id,Title,Author,Year,Pages,Genre,Finished,Rating
11,"Pixels and Glory","Hannah Suzuki",2021,342,ESports,Yes,4.30
12,"The Final Match","Leo Mart�nez",2024,276,ESports,No,3.90
15,"Arena Protocol","Satoshi Tan",2022,367,ESports,Yes,4.50
18,"Shadows of the North","Elena Marquez",1998,412,Fantasy,No,4.20
19,"Binary Dawn","Jonas Petrov",2021,328,Science Fiction,Yes,3.80
20,"The Marble Scholar","Jonas Petrov",1872,654,History,No,3.50
21,"Love in Winter Harbor","Jonas Petrov",2009,287,Romance,Yes,4.60
22,"Recursive Souls","Jonas Petrov",2018,501,Software,No,3.90
23,"The Last Archivist","Caroline Byrne",2003,723,Mystery,No,4.10
24,"Empire of Sand","Khaled Nasser",1975,391,Historical Fiction,Yes,4.00
25,"The Quantum Key","Rebecca Holt",2022,446,Science Fiction,Yes,4.90
26,"Tides of Amber","Jun Park",1991,534,Fantasy,No,3.70
27,"Unwritten Algorithm","Satoshi Tan",2015,279,Software,Yes,3.40
28,"The Crimson Heir","Natalie Wu",2007,688,Fantasy,Yes,4.30
29,"A Song for the Crows","Jonas Petrov",2011,402,Mystery,No,3.60
30,"Echoes of the Silk Road","Jonas Petrov",1968,598,History,No,4.80
31,"Wired Hearts","Leo Mart�nez",2020,321,Romance,Yes,3.90
32,"Paths Through Code","Leo Mart�nez",2017,362,Software,Yes,4.50
