Id,Title,Author,Year,Pages,Genre,Finished,Rating
1,Glass Kingdom,Mira Tanaka,2010,534,Fantasy,yes,4.10
2,The Iron Compiler,Rajesh Patel,2019,289,Software,no,3.80
3,Letters from the Delta,Anneke Voss,1985,472,History,yes,4.00
4,Neon Skies,Carlos Mendes,2023,361,Science Fiction,no,4.40
5,Hidden Syntax,Laura Chen,2016,254,Software,yes,3.70
6,The Amber Vault,Thomas Lefevre,1999,612,Mystery,no,3.90
7,Songs of Tomorrow,Isabella Rossi,2008,387,Romance,yes,4.50
8,Beyond the Firewall,Omar Idris,2022,305,Software,no,4.00
9,The Seventh Talisman,Greta Holm,1994,701,Fantasy,yes,4.20
10,Crimson Networks,Dylan Reyes,2018,298,Science Fiction,no,3.60
11,Pixels and Glory,Hannah Suzuki,2021,342,ESports,no,4.30
12,The Final Match,Leo Mart�nez,2024,276,ESports,no,3.90
13,Code Warriors,Nina Alvarez,2020,318,ESports,yes,4.20
14,Virtual Rivals,Ethan Brooks,2023,295,ESports,no,3.70
15,Arena Protocol,Satoshi Tan,2022,367,ESports,no,4.50
16,Legends of the Rift,Maya Deshmukh,2019,412,ESports,no,4.10
17,Endging,Connor ,2024,334,ESports,yes,4.40
18,Shadows of the North,Elena Marquez,1998,412,Fantasy,no,4.20
19,Binary Dawn,Jonas Petrov,2021,328,Science Fiction,no,3.80
20,The Marble Scholar,Jonas Petrov,1872,654,History,no,3.50
21,Love in Winter Harbor,Jonas Petrov,2009,287,Romance,no,4.60
22,Recursive Souls,Jonas Petrov,2018,501,Software,no,3.90
23,The Last Archivist,Caroline Byrne,2003,723,Mystery,no,4.10
24,Empire of Sand,Khaled Nasser,1975,391,Historical Fiction,no,4.00
25,The Quantum Key,Rebecca Holt,2022,446,Science Fiction,no,4.90
26,Tides of Amber,Jun Park,1991,534,Fantasy,no,3.70
27,Unwritten Algorithm,Satoshi Tan,2015,279,Software,no,3.40
28,The Crimson Heir,Natalie Wu,2007,688,Fantasy,no,4.30
29,A Song for the Crows,Jonas Petrov,2011,402,Mystery,no,3.60
30,Echoes of the Silk Road,Jonas Petrov,1968,598,History,no,4.80
31,Wired Hearts,Leo Mart�nez,2020,321,Romance,no,3.90
32,Paths Through Code,Leo Mart�nez,2017,362,Software,no,4.50
